funcid,dim,milestone,error
17,10,1,2.704331e+02
17,10,2,2.170742e+02
17,10,3,2.122861e+02
17,10,5,1.896293e+02
17,10,10,1.631145e+02
17,10,20,1.210738e+02
17,10,30,1.210738e+02
17,10,40,1.210738e+02
17,10,50,8.782131e+01
17,10,60,6.841509e+01
17,10,70,6.841509e+01
17,10,80,6.841509e+01
17,10,90,6.841509e+01
17,10,100,6.841509e+01
17,10,1,1.723609e+02
17,10,2,1.522457e+02
17,10,3,1.522457e+02
17,10,5,1.361404e+02
17,10,10,1.212190e+02
17,10,20,7.332879e+01
17,10,30,7.332879e+01
17,10,40,7.332879e+01
17,10,50,7.332879e+01
17,10,60,7.332879e+01
17,10,70,7.332879e+01
17,10,80,4.657362e+01
17,10,90,3.383562e+01
17,10,100,3.288660e+01
17,10,1,1.515755e+02
17,10,2,1.217399e+02
17,10,3,1.217399e+02
17,10,5,1.217399e+02
17,10,10,1.142687e+02
17,10,20,5.428731e+01
17,10,30,5.428731e+01
17,10,40,5.428731e+01
17,10,50,5.428731e+01
17,10,60,5.311197e+01
17,10,70,5.311197e+01
17,10,80,5.311197e+01
17,10,90,5.298485e+01
17,10,100,5.298485e+01
17,10,1,1.573113e+02
17,10,2,1.542383e+02
17,10,3,1.542383e+02
17,10,5,1.511700e+02
17,10,10,1.509347e+02
17,10,20,1.508287e+02
17,10,30,1.506354e+02
17,10,40,7.008046e+01
17,10,50,6.631926e+01
17,10,60,5.165290e+01
17,10,70,4.684454e+01
17,10,80,4.506753e+01
17,10,90,4.466267e+01
17,10,100,4.456986e+01
