funcid,dim,milestone,error
13,10,1,3.445205e+04
13,10,2,3.140188e+04
13,10,3,2.840850e+04
13,10,5,2.840850e+04
13,10,10,1.430534e+04
13,10,20,6.576151e+03
13,10,30,6.195053e+03
13,10,40,3.418569e+03
13,10,50,3.418569e+03
13,10,60,3.418569e+03
13,10,70,3.418569e+03
13,10,80,3.418569e+03
13,10,90,3.418569e+03
13,10,100,1.613577e+03
13,10,1,6.036794e+06
13,10,2,1.852402e+05
13,10,3,1.852402e+05
13,10,5,1.091780e+04
13,10,10,1.091780e+04
13,10,20,1.091780e+04
13,10,30,1.091780e+04
13,10,40,1.018537e+04
13,10,50,5.862513e+03
13,10,60,5.862513e+03
13,10,70,5.862513e+03
13,10,80,4.746652e+03
13,10,90,4.746652e+03
13,10,100,4.746652e+03
